Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,3PTM,3P%
Hakim Warrick,Syracuse,2005,14,PF,135,31.0,0.536,0.544,0.25,0.659,15.4,7.34,0.572,0.539,0.028,0.561,10.8,0.0,0.0
Julius Hodge,NC State,2005,15,SG,129,33.0,0.473,0.52,0.329,0.76,15.8,8.87,0.573,0.513,0.247,0.557,11.3,0.0,0.0
Nate Robinson,Washington,2005,16,PG,89,28.2,0.457,0.523,0.348,0.793,14.4,7.12,0.566,0.523,0.374,0.342,5.9,0.81,0.397
Jarrett Jack,Georgia Tech,2005,17,SG,101,32.3,0.478,0.53,0.359,0.796,12.5,9.64,0.594,0.532,0.305,0.532,8.1,0.25,0.263
Francisco Garcia,Louisville,2005,18,SF,98,28.1,0.448,0.519,0.369,0.849,14.4,6.66,0.587,0.535,0.473,0.353,8.4,0.58,0.285
Luther Head,Illinois,2005,19,SG,128,25.4,0.473,0.594,0.382,0.752,10.1,8.06,0.605,0.582,0.572,0.253,8.8,1.41,0.361
Jason Maxiell,Cincinnati,2005,20,PF,129,27.6,0.507,0.509,0.286,0.653,12.1,6.76,0.548,0.508,0.006,0.608,6.7,0.0,0.0
Linas Kleiza,Missouri,2005,21,PF,49,28.7,0.413,0.453,0.287,0.707,14.4,9.14,0.508,0.448,0.245,0.535,1.8,0.03,0.154
Wayne Simien,Kansas,2005,22,PF,106,26.6,0.558,0.566,0.24,0.784,15.0,10.04,0.612,0.561,0.024,0.508,10.4,0.0,0.0
David Lee,Florida,2005,23,SF,127,25.0,0.581,0.584,0.0,0.681,11.3,8.11,0.609,0.581,0.006,0.55,9.6,0.0,0.0
Salim Stoudamire,Arizona,2005,24,PG,129,29.8,0.471,0.488,0.458,0.87,15.2,9.02,0.646,0.602,0.572,0.342,14.1,1.34,0.38
Daniel Ewing,Duke,2005,25,PG,138,27.7,0.432,0.464,0.392,0.746,11.6,9.61,0.554,0.519,0.445,0.325,7.1,0.33,0.282
Brandon Bass,LSU,2005,26,PF,59,34.2,0.54,0.554,0.378,0.78,15.1,7.18,0.616,0.555,0.081,0.617,6.2,0.0,0.0
Ronny Turiaf,Gonzaga,2005,27,PF,125,25.5,0.518,0.524,0.222,0.715,13.6,3.06,0.588,0.52,0.017,0.866,9.7,0.0,0.0
Travis Diener,Marquette,2005,28,PG,120,31.4,0.416,0.42,0.413,0.837,14.1,5.22,0.585,0.532,0.559,0.375,10.6,1.09,0.439
Ryan Gomes,Providence,2005,29,SF,116,35.1,0.519,0.549,0.352,0.789,18.4,7.36,0.592,0.546,0.152,0.411,13.1,0.05,0.33
